Protein IDs	Gene names	Protein names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	mean_control_log2_LFQ intensity IgG_ChIP_01	mean_control_log2_LFQ intensity IgG_ChIP_02	mean_control_log2_LFQ intensity IgG_ChIP_03	mean_control_log2_LFQ intensity IgG_ChIP_04	mean_treatment_log2_LFQ intensity TRF2_ChIP_01	mean_treatment_log2_LFQ intensity TRF2_ChIP_02	mean_treatment_log2_LFQ intensity TRF2_ChIP_03	mean_treatment_log2_LFQ intensity TRF2_ChIP_04	mean_log2_fold_change	std_log2_fold_change	mean_-log10_pval	std_-1og10_pval
C9J592;C9IZZ0;A0A6Q8PG52;A0A6Q8PH84;P51149;A0A6Q8PGE6;C9J8S3;C9J7D1;C9J4S4;C9J4V0	RAB7A	Ras-related protein Rab-7a	10	4	4	4	29.3	29.3	29.3	17.036999999999999	150	21.544526074042061	22.59902988177808	21.737340064300351	21.99289864754024	24.245757525036481	24.18502844780566	24.585774947268469	24.517432472786862	2.4150496813091831	0.28096340916042162	2.4583722081023689	0.90009025114914309
P30876;C9J2Y9;C9J4M6	POLR2B	DNA-directed RNA polymerase II subunit RPB2;DNA-directed RNA polymerase	3	23	23	23	23.4	23.4	23.4	133.9	1174	23.57068494180804	22.947743937670609	23.687951424443941	20.575018031410629	25.369961234911699	24.59057974052233	25.247750523387989	25.080136667580341	2.376757457767285	0.12798598669501751	1.7411231829410849	0.18990553403784899
Q14683;G8JLG1;A0A6Q8PHC3;V9GYN9;V9GY57	SMC1A	Structural maintenance of chromosomes protein 1A;Structural maintenance of chromosomes protein	5	13	13	13	11.7	11.7	11.7	143.22999999999999	1233	20.026829934480421	21.530612927846491	21.37227018358054	20.809613682683349	23.530052882597602	22.781327693126681	23.351781459934958	23.57103228622789	2.3737168983240848	0.45913861272869672	2.9904031656327561	1.441811498347936
Q9Y4C8;H0YIL2	RBM19	Probable RNA-binding protein 19	2	8	8	8	12.1	12.1	12.1	107.33	960	21.520951485922492	19.12908899670316	22.21454205794576	20.68361075282132	23.175938113366769	23.03419311019114	23.60693288207332	23.203532018223271	2.3681007076154419	0.96281218046790018	1.3471015160802919	0.13907156032815651
P32119;A6NIW5;P32119-2	PRDX2	Peroxiredoxin-2	3	6	5	5	27.8	22.2	22.2	21.891999999999999	198	22.12866832324832	24.625445768350161	21.348816518871178	20.4197404073645	24.844026828531359	24.628174507395521	24.258034011015042	24.247859153246178	2.3638558705884831	0.39977634031808978	1.3007092376879941	0.27770678220694511
P50991;P50991-2	CCT4	T-complex protein 1 subunit delta	2	8	8	8	18.399999999999999	18.399999999999999	18.399999999999999	57.923999999999999	539	23.132512280860109	20.86531677262878	21.16923050521471	20.984367777413478	23.352859203969309	24.685547421856981	23.59809794724821	23.948510536844118	2.358396943450388	0.21082550417884849	1.713009603221797	0.30090181358019402
Q9UIG0-2;Q9UIG0	BAZ1B	Tyrosine-protein kinase BAZ1B	2	12	12	12	9.8000000000000007	9.8000000000000007	9.8000000000000007	170.45	1479	19.862837991050888	21.49077923853439	23.38548117296807	22.810135895428601	24.45180221793651	23.415706700525838	24.015802953214418	24.818752621836129	2.288207548882736	0.99114745556699069	1.314559465722573	0.80678126598560218
O15297;O15297-2;K7EJH1	PPM1D	Protein phosphatase 1D	3	6	6	6	14.4	14.4	14.4	66.673999999999992	605	21.635495275607369	21.39848700384195	21.321640952648561	22.359338299501101	23.742114498802181	24.02394516906077	24.017163184349609	23.9837235861579	2.262996226692874	0.38790008635332568	1.880506527504662	0.18083791781035891
Q13472-3;Q13472-2;Q13472;K7ELI7;K7EMT6;H7C4B0;H0Y6W0;O95985-3;O95985-2;O95985	TOP3A	DNA topoisomerase 3-alpha	10	10	10	10	13.9	13.9	13.9	101.21	906	23.063510796071299	20.9092474639756	21.074317498351881	21.131388554505222	24.029600652284699	22.989850425962761	23.775250983199541	24.43154198182431	2.2619449325918288	0.41332945674764648	2.0922626828415898	0.87572049076226144
Q7Z5L9-2;Q7Z5L9	IRF2BP2	Interferon regulatory factor 2-binding protein 2	2	8	8	8	21.4	21.4	21.4	59.48	571	21.512852760233091	20.674316714986741	21.238643428951129	21.265809053991141	23.257674425000651	23.21855318538233	23.385086148539671	23.755317929632451	2.2312524325982479	0.62871458622281207	2.711174448410778	1.0821084453438941
Q8TEK3-1;Q8TEK3;V9GY76	DOT1L	Histone-lysine N-methyltransferase, H3 lysine-79 specific	3	9	9	9	6	6	6	184.85	1739	19.893015892899779	20.304994354308221	21.78339576742551	21.91908394974913	23.52468326580879	22.223790797703678	23.563371324248301	23.505306632383071	2.2291655139403028	0.68182285308011992	1.6883292548900031	0.74610660697821762
P23497;C9JBL0;E9PHV6;P23497-7;P23497-6;P23497-5;P23497-2;P23497-3;P23497-4;H7BYP4;U5Y3L1;Q9H930-1;Q9H930-2;Q9H930;Q9H930-3	SP100	Nuclear autoantigen Sp-100	15	7	7	6	8.9	8.9	8	100.42	879	22.478142458566371	21.096228074616139	21.743632325579199	22.212002602819211	24.212376450103921	24.118386028681289	24.109964523721011	23.987458327520461	2.224544967111441	0.2087557756287105	3.2685284052699561	1.0535477620486291
Q5SSJ5;Q5SSJ5-3;Q5SSJ5-2;B0QZK4;Q5SWC8;B0QZK9;B0QZK8;Q5SSJ5-5	HP1BP3	Heterochromatin protein 1-binding protein 3	8	5	5	5	9.6	9.6	9.6	61.206000000000003	553	20.92824973423485	20.519817474051759	20.999315332545901	22.593428141000771	23.101429449561969	23.90297416974327	23.27255802930496	23.610654512931291	2.2117013699270509	0.60776879445960574	1.654105234357514	0.85658371269334976
O00410;O00410-3;H0Y8C6;O00410-2;E7EWK4;E7ETV3;E7EQT5;E7EV12;E7EX05;E7ETV8;E7ESZ1;C9JZD8;C9JQT6;C9J875;C9JZ53;C9JXE0;F8WF30;C9J583	IPO5	Importin-5	18	6	6	6	7.8	7.8	7.8	123.63	1097	24.864338437955951	20.094565421352701	21.308753745576411	23.088952813931542	24.64289827242721	24.55262407262391	24.135631012765749	24.860649404566761	2.2087980858917562	5.464666519746509E-2	1.0719378224311049	0.24079665458592939
Q16666-3;Q16666-6;Q16666-2;Q16666;A0A0A0MRB1;H3BM18;X6RHM1;H3BR88;H3BVE6;X6RHR0;Q6K0P9-6;Q6K0P9-5;Q6K0P9-4;Q6K0P9-3;Q6K0P9-2;Q6K0P9	IFI16	Gamma-interferon-inducible protein 16	16	13	13	13	25.4	25.4	25.4	75.935000000000002	673	20.82346656106467	22.276639195767299	21.332529257280171	22.274796353061259	23.83682318332156	23.63865156109588	23.786661285126922	24.173561249590101	2.1820664779902699	0.51234700636388564	2.3390357574346399	0.9749185285895271
Q8WUM0	NUP133	Nuclear pore complex protein Nup133	1	14	14	14	17.600000000000001	17.600000000000001	17.600000000000001	128.97999999999999	1156	23.21769565279471	21.371541197716859	21.48768703984635	22.077794988858351	24.413577832281241	24.28714871670153	24.104696002804829	24.074390413440099	2.1812735215028618	0.10664525543057669	2.4067770669877699	0.229241453052063
A0A6Q8PGB0;P24928;P24928-2	POLR2A	DNA-directed RNA polymerase II subunit RPB1	3	18	18	18	11	11	11	217.24	1970	21.870449339356892	22.47573060858161	21.4202378139831	22.463376449235561	23.943958459130251	24.021066720163279	24.792829208777309	24.020642934054159	2.1371757777419602	0.55323963885667327	1.9858471224021621	0.73146580769767211
Q8NC56;H7C2Z0;D6R958;D6RBV0;Q8NC56-2	LEMD2	LEM domain-containing protein 2	5	3	3	3	6.6	6.6	6.6	56.973999999999997	503	19.583636436342971	20.823792493953981	21.482481541287001	21.385448834508718	22.7776807267633	23.147014203898991	22.88556009555893	22.995485623016481	2.1325953357862608	0.82706978090839001	2.0356951220410782	0.72585919503981999
A0A6Q8PFJ0;P02545;P02545-3;P02545-6;A0A6Q8PHQ9;P02545-5;P02545-4;A0A6Q8PF80;A0A6Q8PGH0;A0A6Q8PFM1;A0A6Q8PF59;A0A6Q8PFF5	LMNA	Prelamin-A/C;Lamin-A/C	12	48	46	4	60.2	59	9.1999999999999993	80.902000000000001	729	27.918491411197849	27.93185031818571	27.829655966474121	27.827658737572062	29.869780836471008	29.766418810227229	30.256311679818591	30.116443912232459	2.125324701329887	0	5.779183065937338	0
A0A494C1L1;Q14739;C9JXK0;C9JES9	LBR	Lamin-B receptor	4	8	8	8	22.1	22.1	22.1	46.924999999999997	411	23.132072922770689	23.38020526640851	22.722465690928939	22.52432294913169	25.249198249397821	24.426496136803301	25.32082560891628	25.25273905042404	2.122548054075406	0.21168601468543111	3.2016005797884541	0.2820424377256579
P78527;P78527-2;F5GX40;H0YG84	PRKDC	DNA-dependent protein kinase catalytic subunit	4	84	84	84	26.1	26.1	26.1	469.08	4128	23.91141100689191	23.614141866671751	23.13337491632857	23.495580834761551	25.94438303424042	25.224166289590631	25.64850460736146	25.80936188969854	2.117976799059321	0	4.0950503322936864	0
P16403;P10412;P16402;P22492	HIST1H1C	Histone H1.2;Histone H1.4;Histone H1.3	4	8	8	5	26.8	26.8	18.3	21.364000000000001	213	25.366930466815589	27.31068696792174	27.053930686035621	26.794143940802019	28.29144987660252	28.319327438385201	28.979483156153691	29.352328852441531	2.1042243155019982	0	2.224111851610143	0
E9PRI1;Q96NY9;H0YDE3;H0YDU2;E9PL60;H0YDK3	MUS81	Crossover junction endonuclease MUS81	6	7	7	7	20.399999999999999	20.399999999999999	20.399999999999999	52.288999999999987	476	22.615893014235269	21.18482841468068	21.967411260964969	22.084796170271851	24.976836784462709	23.453498730233399	23.779565475879121	24.024198874335479	2.0952927511894859	0.77065251343880481	2.3384802342398001	1.4029271183481311
E7EPB3;P50914	RPL14	60S ribosomal protein L14	2	4	4	4	36.299999999999997	36.299999999999997	36.299999999999997	14.558	124	27.307997880394101	27.62414920183506	21.639656989714961	27.229493621827981	28.109785231467061	28.04499820440325	27.973884586221281	28.034541573565569	2.0904779754712721	0.13419724578886949	0.70780289493234516	2.546594842898817E-2
Q9NW64;Q9NW64-2;E5RJW4	RBM22	Pre-mRNA-splicing factor RBM22	3	5	5	5	14	14	14	46.895000000000003	420	21.747621644319199	20.382984820432789	21.44793900149957	22.371767890015921	23.471223706244579	23.281358439566041	23.824736595413029	23.695086376631082	2.0805229403968131	0.32520102746813973	2.271234929345797	0.49390389518526789
Q9HAV4;H0Y9I3;H0Y3W3;H0YA57;E2QRM3	XPO5	Exportin-5	5	13	13	13	15.3	15.3	15.3	136.31	1204	23.628118870402741	23.23818079369957	21.246822544298119	23.71701449834023	25.160695001937452	24.605011925009009	25.12230193740233	25.146043123641491	2.0509788203124031	9.5377694104506028E-2	1.878971757131692	0.19195196477117291
M0R0F0;M0R0R2;P46782;M0QZN2	RPS5	40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed	4	4	4	4	24.5	24.5	24.5	22.390999999999998	200	25.31903451062901	24.550629373782701	21.3006415105652	22.343546516573941	25.88820608700226	25.79255618966387	25.269136954588419	24.629231202794688	2.0163196306245972	0.43043088474484209	1.0720206072584531	5.0189957747484457E-2
E9PKP7;P17480-2;P17480;E9PMM2;E9PLT2	UBTF	Nucleolar transcription factor 1	5	10	10	10	15.6	15.6	15.6	87.435000000000002	745	23.62644876212336	22.634514179737479	21.00697240412817	21.563580034956839	24.270135606325329	23.772937923839571	24.469237377675551	24.371058733468519	2.0129635650907769	0.3538402408672674	1.6388895560290919	0.227677356524187
O00267-2;O00267	SUPT5H	Transcription elongation factor SPT5	2	17	17	17	23.4	23.4	23.4	120.5	1083	23.909123265711479	22.372148753821971	22.86563209357875	23.190765717839032	25.044143607484891	24.667144900823558	25.391229689371759	25.21682281187562	1.9954177946511571	0	2.852271817243631	0
P18206-2;P18206;A0A096LPE1;P18206-3	VCL	Vinculin	4	10	10	10	14.9	14.9	14.9	116.72	1066	22.078788974345969	20.012811647327059	20.917693023338181	20.878680671404862	21.822015262004079	24.53611438569288	22.8459417412639	22.627829523447868	1.985981648998171	1.2446513809946129	1.010311610548537	0.46675475451074311
Q96HA1;Q96HA1-2;A8CG34-2;Q96HA1-3;C9JER0;C9J370;A0A0J9YWR1;Q6PJE2-5;Q6PJE2;A6NF01;C9JFL1	POM121	Nuclear envelope pore membrane protein POM 121;Nuclear envelope pore membrane protein POM 121C	11	12	12	3	12.7	12.7	3.9	127.72	1249	22.50454607338261	21.430895361005241	21.32700696290587	21.287595831973771	23.291792362393078	22.341339647950189	24.851099345711461	23.9034339635582	1.959405272586358	0.39551678672610768	1.6313590798254769	0.23488037111449769
Q9BXP5-4;Q9BXP5-2;Q9BXP5-3;Q9BXP5;Q9BXP5-5;H7C3A1;H7C1K0;A0A286YEP7;H7C0U8;A0A0A0MSP6	SRRT	Serrate RNA effector molecule homolog	10	12	12	12	16.399999999999999	16.399999999999999	16.399999999999999	100.15	871	23.591835498896351	23.679815099590868	21.414886776853422	21.59544527921615	23.956508743462411	24.525041862697218	24.8215774256679	24.746170260355541	1.9418289094065679	7.5327618642665337E-2	1.589288288773137	1.9245854790334759E-2
A0A494C0M1;P52701;P52701-4;P52701-3;A0A087WWJ1;P52701-2;A0A087WYT6;C9JH55;C9J8Y8;C9J7Y7;F8WAX8	MSH6	DNA mismatch repair protein Msh6	11	28	28	28	27.9	27.9	27.9	142.85	1261	25.14596540897649	23.834317499921951	24.708356885417452	25.11422114451376	26.77718406655713	25.73943864762396	27.071529138869629	26.948376857010729	1.933416942807948	0	2.3794215653439119	0
A0A0C4DG89;Q7L014;D6RJA6;H0Y9U3	DDX46	Probable ATP-dependent RNA helicase DDX46	4	12	12	12	12.7	12.7	12.7	117.46	1032	20.952705648945098	20.855121668623099	21.976292365317349	21.003611191974979	23.06156039368225	22.81466147377586	23.416480056234999	23.18183287384101	1.921700980668394	0.19519725060051299	2.2950737565793542	3.3399326970641047E-2
A0A3B3IU45;P33991;A0A3B3IT92;E5RG31;A0A3B3IS57;A0A3B3ITP6;A0A3B3IRR8	MCM4	DNA replication licensing factor MCM4	7	14	14	14	24.8	24.8	24.8	91.19	813	23.609753180584349	22.633960153632231	22.63411530238891	23.311050910669621	24.869054210601441	23.807250352816279	25.068375168641449	26.079322987718442	1.908780793125626	0	1.956829782656921	2.719479911021036E-16
C9J7T7;A0A384DVL6;C9JE98;C9J0Q5;Q9Y618-5;Q9Y618-4;Q9Y618;C9JQE8;Q9Y618-2;H7C184;H7C1J7;C9J330	NCOR2	Nuclear receptor corepressor 2	12	11	11	11	6.1	6.1	6.1	221	2062	21.385998467721819	22.49044842279962	21.25361060607197	21.454359889614501	23.529338087352151	23.37703043650253	23.795209730526182	23.42751950626695	1.886170093609975	0.27472743033542912	2.6668005987976762	0.19788378750659849
P62899;H7C2W9;C9JU56;B7Z4E3;B7Z4C8;P62899-3;P62899-2;B8ZZK4	RPL31	60S ribosomal protein L31	8	4	4	4	32.799999999999997	32.799999999999997	32.799999999999997	14.462999999999999	125	28.219834837429531	27.613158386545411	27.9298204971813	20.725285321298038	28.433485348998541	28.147974929920341	27.377907520181669	28.071938239975701	1.8858017491554959	0.15458509060540179	0.46940546453693388	1.293152104105375E-3
P62424;Q5T8U3;Q5T8U2	RPL7A	60S ribosomal protein L7a	3	8	8	8	25.6	25.6	25.6	29.995000000000001	266	20.834945399887019	26.3886867431636	26.438189551673929	26.257782310215941	26.249831172983971	26.965101696050858	26.908962987887111	27.280385229738581	1.871169270430016	0.26969964156452308	0.64346814691783083	3.5164582983742677E-2
P22087;M0R0P1;M0QXL5;M0R2Q4;M0R299;M0R2U2;M0R1H0;M0R2B0;M0QXC9	FBL	rRNA 2-O-methyltransferase fibrillarin	9	8	8	7	36.799999999999997	36.799999999999997	33.299999999999997	33.783999999999999	321	25.147169516100771	23.857567987880401	24.055813978615131	20.76078113130551	25.333437918129331	24.987284832836721	25.81772848266159	25.162962575029319	1.870020298688791	0.5103267869575735	1.069424837105716	0.232113542725635
O75369-2;O75369-9;O75369;O75369-8;O75369-6;O75369-3;E7EN95;O75369-7;O75369-5;O75369-4;H7C5L4;A0A0A0MT44;A0A0C4DGA1	FLNB	Filamin-B	13	53	45	45	28.6	25	25	275.66000000000003	2578	22.314263486138419	22.62871963640854	23.469734216265358	23.431988232033849	23.527907433529371	26.642650431630869	24.648394888368259	24.493139106090531	1.866846572193221	0	1.3969286596013939	0
Q8IY81	FTSJ3	pre-rRNA processing protein FTSJ3	1	7	7	7	11	11	11	96.557000000000002	847	22.659968027995241	20.502260665928279	21.08415814771611	21.8350665351198	23.795209730526182	23.38192205324037	23.244335378445829	23.0918756754286	1.857972365220391	0.5297040183785352	1.3414198421189121	9.3653066402231255E-2
O95251-2;O95251-4;O95251;A0A6Q8PHH2;O95251-3;O95251-5;E7EUP3;A0A3B3IT63;A0A3B3ISI1;A0A3B3ITI0;A0A3B3IT19;A0A3B3IU93;A0A3B3IRI4;A0A3B3IS73;H3BMX5;A0A3B3ISF5;A0A3B3ISW3;Q9H7Z6-2;Q9H7Z6;Q8WYB5-3;Q8WYB5-2;Q8WYB5	KAT7	Histone acetyltransferase KAT7;Histone acetyltransferase	22	7	7	7	19.8	19.8	19.8	58.134999999999998	501	21.33041311321124	21.98789383967075	21.54143884810054	22.815677146483669	24.060851586269141	23.293898179495741	23.85205243753505	23.897075829943251	1.8571137714442461	0.70827883312039019	2.1112163534739681	1.457835494020058
Q9BVP2-2;Q9BVP2;C9JYH9;C9JZT7;B4DMU5	GNL3	Guanine nucleotide-binding protein-like 3	5	7	7	7	17.100000000000001	17.100000000000001	17.100000000000001	60.54	537	23.581758692820941	21.652127506772981	21.595020552772819	22.07838345006169	24.380799769993668	23.509541138037989	24.021913919107639	24.349286088884728	1.838562678398888	0.1498602807146982	1.5223003585078121	0.35478777636850678
Q13595-2;Q13595-4;Q13595-3;Q13595	TRA2A	Transformer-2 protein homolog alpha	4	2	2	2	20.399999999999999	20.399999999999999	20.399999999999999	12.951000000000001	113	24.410410978864771	20.9117822141286	20.598241209615281	24.357095012095488	24.79114062614142	23.921797362750191	24.143515251695359	24.767593669105771	1.836629373747148	0.3026756671135421	0.83083697443119953	1.545062033303515E-2
O43290;E9PQI8	SART1	U4/U6.U5 tri-snRNP-associated protein 1	2	8	8	8	14	14	14	90.253999999999991	800	22.46817111127767	20.996789507945451	22.940091313670749	21.861069493265259	23.93894349925182	23.6140295028693	24.123131220024931	23.868159399148109	1.819535548783757	0.45928441848991369	1.977108065632444	0.57854920262525156
O95373;E9PLB2;E9PLJ0	IPO7	Importin-7	3	14	14	13	18.2	18.2	17.2	119.52	1038	23.07682211963736	19.822822575431541	22.930810955536678	22.69983760031398	24.024452535002659	23.694023696087388	23.873332208708849	24.17805266589809	1.809891963694356	0.33664780500817643	1.3246220616142961	0.39154118959201101
I3L1L3;Q9BQG0;Q9BQG0-2;I3L2H8	MYBBP1A	Myb-binding protein 1A	4	14	14	14	15.2	15.2	15.2	140.13	1252	22.734051330406949	21.270763921034629	20.80197299979336	22.166203889561629	23.993949362680251	23.324160764990321	23.311743881066199	23.54710257515325	1.800991110773364	0.47681139256277127	1.5284883405816381	0.4388634163925984
P0DP09;A0A0B4J2D9	IGKV1D-13	2	1	1	1	13.7	13.7	13.7	12.569000000000001	117	30.79164678753644	19.12266181739124	30.051028503783499	30.224235303202111	29.53345075845322	29.162765744926489	29.325430909303101	29.347120218859931	1.7947988049073591	0.75954212802318954	0.25278353711721452	5.5378310250295493E-2
Q4G0J3;Q4G0J3-3;H0YA82;Q4G0J3-2;D6R9Z6;D6RFF0;D6RF49;D6RAF3	LARP7	La-related protein 7	8	8	8	8	16	16	16	66.897999999999996	582	21.141169499987679	22.505080379904498	20.914826315273409	21.882751287446091	23.39767358855806	23.38192205324037	23.287712379549451	23.54686714841629	1.792586921788121	0.56023114363900883	2.0067712840189809	1.1367818700521359
Q2TAY7;Q2TAY7-2	SMU1	WD40 repeat-containing protein SMU1;WD40 repeat-containing protein SMU1, N-terminally processed	2	10	10	10	26.7	26.7	26.7	57.542999999999999	513	23.861548884678481	20.563378801583411	24.520672867303109	24.318862172396891	25.099608821650659	24.756132781413999	25.17111936593782	25.352017285248369	1.7786038820722401	0.13981197714411189	0.98070549258772532	7.3290668640161413E-2
Q14980-2;Q14980;A0A087WY61;H0YFY6;Q14980-4;Q14980-3;Q14980-5;K4DIE0;F5H4J1;F5H6Y5;F5H2F3;F5H3L6;F5H0Z7;F5H763;F5H1L0;F5GZW1	NUMA1	Nuclear mitotic apparatus protein 1	16	44	44	44	27.7	27.7	27.7	236.51	2101	23.610541877178349	23.884368047224111	23.55718975230532	22.66166503491964	25.103215761517149	24.949624054011579	25.425696124006009	25.345027257332148	1.7774496213098669	0	3.0870068849956449	0
Q9NY93-2;Q9NY93;G3V0G3;H7C3E9;F8WDT8;F8WEI3;H7BZN7	DDX56	Probable ATP-dependent RNA helicase DDX56	7	9	9	9	22.9	22.9	22.9	57.273999999999987	507	23.270278214444939	21.351691153284499	21.914389755286329	21.48416587900444	24.0773275304118	23.436951418386471	23.830357366435731	23.750010145088339	1.768530364575533	0.44575110680688812	1.9670838803508921	0.20899404425602661
A0A0A0MSJ0;Q86XP3-2;Q86XP3	DDX42	ATP-dependent RNA helicase DDX42	3	6	6	6	9.3000000000000007	9.3000000000000007	9.3000000000000007	77.813000000000002	708	22.193693603653529	22.0866134561754	21.132702158223161	21.166369365923739	23.81938624861472	22.88716036107817	23.308831165962641	23.49252802766177	1.7321318048353691	1.0345483504719071	1.9729517945436199	1.742109305939074
A6NHR9;A6NHR9-2;J3KTL8;A6NHR9-3;A0A2R8YCU7;A0A2R8YE92	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	6	20	20	20	12.4	12.4	12.4	226.37	2005	20.810696842926021	22.562137126957911	23.561274891269729	22.764823007784429	24.38317533753732	23.256667107091669	24.60495538753311	24.34611005692582	1.722994005037461	0.2035670404862687	1.4272240628069419	0.20605303734305569
P61247;D6RG13;D6RAT0;H0Y8L7;D6RB09;E9PFI5;H0Y9Y4;D6RAS7;D6R9B6;D6RED7;D6RGE0;D6RI02	RPS3A	40S ribosomal protein S3a	12	9	9	9	39.4	39.4	39.4	29.945	264	23.756438232215999	20.40085084927367	25.122657402611651	25.09329504771846	23.779765836276759	26.172932096776901	25.578854293766891	25.717302192574479	1.7189032218938189	0.44653433144424359	0.67167872930170025	3.7258396305071911E-2
Q8TEX9;Q8TEX9-2;H0YN14;H0YLV0;H0YL92;H0YN07;H0YMR4;H0YKG5;H0YK93	IPO4	Importin-4	9	13	13	13	16.7	16.7	16.7	118.71	1081	23.338785339028519	20.3190409961123	21.565803578712998	23.62265601027606	24.073164847707989	23.94690556073693	23.853004900130468	23.825319071044738	1.713027113872563	0.36960284700007212	1.094241530484918	0.18095671858204371
Q6PL18;A0A0B4J211;Q6PL18-2;Q9ULI0-2;Q9ULI0	ATAD2	ATPase family AAA domain-containing protein 2	5	18	18	18	15.4	15.4	15.4	158.55000000000001	1390	22.395060246586539	22.08629783138786	21.99948258341264	21.615579350951482	23.91305593712244	23.079070653750101	23.9489560468501	23.902330212118279	1.6867482093755961	0.64115273773034365	1.575735572432577	0.17165744970830421
O75533;H7C341;F8WC19;B4DGZ4;A0A494C1M2;O75533-2	SF3B1	Splicing factor 3B subunit 1	6	15	15	15	15.7	15.7	15.7	145.83000000000001	1304	23.119067131736362	22.786840726048769	20.885966877827752	22.346649464391788	24.041931812684592	23.365863187284091	23.9903179816597	24.418218592345241	1.669451843492237	0.21477562732015301	1.6030047561336409	0.34881757624620391
Q03252	LMNB2	Lamin-B2	1	37	34	34	63.7	61	61	69.948000000000008	620	26.025762405090369	26.14672294844733	26.22844807761166	26.10940665240976	27.648353741594448	27.477150891749019	28.039883924711891	27.96960960633568	1.6561645202079871	0	4.6643545692899702	0
A0A7I2V351;A0A7I2V487;A0A7I2YQE1;P52292;A0A7I2V3Z3;J3QLL0;J3KS65;J3QL07	KPNA2	Importin subunit alpha-1	8	15	15	15	37.700000000000003	37.700000000000003	37.700000000000003	55.086000000000013	504	24.611667839181091	24.730707695410061	23.382317944861668	24.936025017088301	26.203629094730271	25.824809417729121	26.168175986456859	26.04818284808989	1.646019712616255	0	2.41413950074522	0
P46063;F5H2L2;F8WA66;F8WD97;F5H4P4;F5H3W0	RECQL	ATP-dependent DNA helicase Q1	6	16	16	16	34.700000000000003	34.700000000000003	34.700000000000003	73.456999999999994	649	24.23242444059294	22.366583687564582	24.379213882370902	23.35029824606071	25.28834623712844	24.4098932808092	25.5735769265813	25.60944321748952	1.638184851354836	0	1.6317501765083591	2.719479911021036E-16
P62269;A0A0G2JQH2;Q5GGW2;J3JS69	RPS18	40S ribosomal protein S18	4	10	10	10	53.9	53.9	53.9	17.718	152	27.049990593637379	27.367530464761799	26.872440047513368	21.4663936101548	27.380139195329701	27.652941228800991	26.67263100507326	27.597401881805052	1.636689648735423	0.23744001794220021	0.53018272008676659	1.157615382806034E-2
A0A669KB56;A0A669KBA4;A0A669KB53;P42224;A0A669KB68;J3KPM9;A0A669KBI6;P42224-2;A0A669KB52;A0A669KB75;E7EPD2;D2KFR9;A0A669KB17;E7ENM1	STAT1	Signal transducer and activator of transcription 1-alpha/beta;Signal transducer and activator of transcription	14	22	22	22	34	34	34	87.122000000000014	748	22.053280275693361	20.72849851196268	20.811117512404952	20.30863677570823	22.938961891037479	22.62357592958459	22.585709204231978	22.201503367021431	1.6120543290265681	0.1754218197037607	2.0120617550046682	0.43359252033016588
Q12996;E9PLP8;Q12996-2;E9PJ06;Q12996-3	CSTF3	Cleavage stimulation factor subunit 3	5	5	5	5	9.3000000000000007	9.3000000000000007	9.3000000000000007	82.921000000000006	717	20.838548723765001	21.288995137069861	21.880383616264361	21.89931682894974	23.392049039364181	22.791856031834911	22.927884998418421	23.214186290805529	1.6046830135935131	0.55942628122981608	1.4187049179019109	0.56642882131741423
P16615-5;P16615-2;P16615-3;P16615;H7C5W9;P16615-4;O14983-2;O14983;O14983-3;H3BVB2	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	10	7	7	7	9.8000000000000007	9.8000000000000007	9.8000000000000007	109.73	997	22.855326273271992	21.818902551015221	21.563193030900599	21.960304863360719	23.858516817273951	23.815189385609841	23.290527395156499	23.496556370284061	1.565765812443956	7.6548662613259016E-2	2.155689268062746	0.27702733543977909
P63241;P63241-2;I3L397;I3L504;Q6IS14;F8WCJ1;C9J7B5;C9J4W5;Q9GZV4	EIF5A	Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-1-like;Eukaryotic translation initiation factor 5A-2	9	4	4	4	49.4	49.4	49.4	16.832000000000001	154	25.870748122327701	25.61661165880086	25.888693833154949	21.013548210213589	26.254722434117848	26.327453964154859	25.427423596211341	26.598183156677059	1.5545453316660001	0.19234636146643189	0.60307546221469022	2.269983922142459E-2
P25205;P25205-2;J3KQ69;A0A499FHX9;Q7Z6P5	MCM3	DNA replication licensing factor MCM3	5	30	30	30	44.7	44.7	44.7	90.98	808	25.185709053524899	24.764256085763709	24.766077542885501	24.772937923839571	26.665600708889109	25.909100369969579	26.477629574263592	26.572970090469379	1.534080034394492	0	3.5945288328645559	5.4389598220420729E-16
J3QL05;J3KP15;Q01130-2;Q01130;Q9BRL6-2;Q9BRL6	SRSF2	Serine/arginine-rich splicing factor 2	6	5	5	5	45.4	45.4	45.4	15.156000000000001	130	24.934855969119852	25.365662984442569	24.966972539266241	22.18533012174445	25.94239315598892	26.07561493894088	25.796299491638919	25.766178667551081	1.5319161598866811	0.14854566261872071	1.0989318587262169	0.1247891065589027
